Direccion;Codigo_Telefonico;Telefono;Correo electrónico;Fecha de alta;ID_CLIENTE;ID_TIPOS
7943 S. Fifth Street;598;451-5865;uraeus@mac.com;2012/01/19;1;3
77 Lyme Street;869;771-1487;bhima@me.com;2005/03/22;2;1
9448 Fairfield St.;246;245-7306;psichel@sbcglobal.net;2007/09/15;3;3
8143 College St.;707;933-2513;tbeck@optonline.net;2011/12/07;4;1
9893 W. Vale Ave.;612;325-0216;eegsa@yahoo.ca;2008/06/28;5;2
8094 Albany Drive;992;564-5230;barlow@verizon.net;2008/04/26;6;2
9001 Creek Street;651;544-1246;wkrebs@me.com;2019/10/08;7;3
57 Green Drive;851;782-6044;dleconte@outlook.com;2009/08/16;8;1
86 Surrey St.;265;609-6654;flakeg@verizon.net;2013/01/05;9;2
8728 Boston Street;305;491-4988;slaff@icloud.com;2007/12/29;10;4
45 Heritage Ave.;561;649-7485;uncle@hotmail.com;2013/08/27;11;1
9334 Hillside Street;966;735-9451;vsprintf@hotmail.com;2012/02/24;12;1
611 Academy Street;711;282-2848;chinthaka@yahoo.ca;2014/12/24;13;2
7201 Mill Street;337;397-0627;ntegrity@optonline.net;2016/10/29;14;3
59 Ridgewood Ave.;969;383-4277;yangyan@yahoo.ca;2007/04/06;15;3
270 West Green Lake St.;748;495-1748;ilyaz@me.com;2019/11/10;16;1
9481 S. Chestnut St.;494;813-5651;njpayne@hotmail.com;2017/01/18;17;1
7 N. Annadale Street;779;217-3175;ralamosm@gmail.com;2010/05/12;18;1
88 Pheasant Rd.;904;204-2255;bartak@sbcglobal.net;2012/02/24;19;2
8 Galvin Street;932;307-3409;improv@me.com;2016/05/16;20;1
9 Marconi Road;993;960-7653;arnold@live.com;2018/02/16;21;1
8842 Old Van Dyke Ave.;611;927-0572;ismail@comcast.net;2019/02/26;22;1
471 S. Cambridge Drive;283;384-7846;wilsonpm@aol.com;2005/02/19;23;3
9 Military Dr.;677;875-1069;barjam@icloud.com;2014/04/02;24;1
8388 Pheasant Street;886;929-9282;michiel@msn.com;2012/09/07;25;2
221 Dogwood Dr.;596;660-5408;gamma@hotmail.com;2010/07/02;26;3
911 Charles St.;768;242-5793;dhrakar@live.com;2019/05/08;27;1
176 Henry Smith Ave.;483;388-3044;themer@icloud.com;2013/11/20;28;1
323 1st St.;525;814-4351;leocharre@me.com;2016/11/13;29;1
8127 Pawnee Lane;872;458-4785;kewley@icloud.com;2013/05/28;30;1
7813 Helen Ave.;600;318-8808;murdocj@mac.com;2006/01/11;31;3
353 Canterbury Dr.;437;406-2974;webinc@msn.com;2017/03/30;32;4
61 Addison Dr.;615;712-3381;mrsam@yahoo.ca;2017/01/19;33;2
810 West Mill St.;651;742-1141;sassen@aol.com;2015/02/07;34;1
51 Mayfair Court;517;690-8580;emmanuel@att.net;2007/01/11;35;4
840 Oak Meadow Ave.;616;766-2111;naoya@mac.com;2006/08/17;36;1
257 Pheasant Drive;685;726-6159;slanglois@hotmail.com;2021/03/23;37;4
30 N. Park Avenue;737;772-3449;improv@comcast.net;2009/09/07;38;3
850 School St.;876;612-6879;noneme@me.com;2011/05/14;39;1
59 Atlantic Ave.;669;791-3350;majordick@yahoo.com;2009/01/05;40;3
74 Broadway;642;368-4225;rgiersig@verizon.net;2010/12/22;41;3
MK9 3EN;953;901-9132;smartfart@aol.com;2020/11/06;42;3
CREWE;869;720-8135;jmgomez@verizon.net;2014/07/14;43;1
674 High Street;319;633-9396;msherr@yahoo.com;2013/01/20;44;3
CT76 6OB;731;945-6687;keutzer@sbcglobal.net;2006/03/30;45;2
DUNDEE;435;742-6743;policies@sbcglobal.net;2017/09/09;46;3
35 The Crescent;684;330-1830;hwestiii@verizon.net;2006/08/04;47;4
SE42 3UM;843;248-6284;hstiles@mac.com;2007/10/04;48;1
DONCASTER;390;565-9213;xnormal@gmail.com;2011/11/27;49;4
94 The Avenue;951;953-8812;jgmyers@icloud.com;2009/06/18;50;2
BN0 6LJ;516;909-2316;oechslin@aol.com;2010/05/09;51;1
STOCKPORT;833;629-5357;juerd@outlook.com;2020/06/28;52;1
96 The Green;260;680-9015;skippy@icloud.com;2016/05/31;53;3
WD65 4RB;724;882-6713;meinkej@hotmail.com;2017/08/30;54;3
WAKEFIELD;663;750-6940;staffelb@aol.com;2020/10/22;55;1
30 Main Road;325;631-2099;heckerman@optonline.net;2009/03/21;56;3
NW96 2RV;594;787-2465;rjones@verizon.net;2014/01/12;57;1
SHREWSBURY;720;491-3517;parrt@verizon.net;2014/10/12;58;2
26 North Road;735;587-8913;hampton@icloud.com;2018/12/27;59;4
EC18 9MF;295;530-5752;claypool@comcast.net;2008/03/21;60;4
LLANDRINDOD WELLS;306;906-7975;wsnyder@live.com;2018/03/11;61;1
70 Green Lane;452;597-0784;magusnet@aol.com;2014/04/30;62;1
KA97 3AD;363;441-6561;danneng@optonline.net;2010/10/11;63;3
ROCHESTER;550;890-6346;smallpaul@aol.com;2006/10/03;64;1
5 Kingsway;906;421-7305;staikos@optonline.net;2015/04/26;65;3
WA48 9PQ;977;707-4772;bryam@outlook.com;2009/02/21;66;3
BIRMINGHAM;871;218-8630;ccohen@optonline.net;2017/07/15;67;4
3 Church Street;522;326-9656;geoffr@aol.com;2006/10/28;68;2
CA46 0YA;924;599-2856;kludge@comcast.net;2006/02/12;69;1
